,Time,User,Tweet
38,2022-10-15 11:27:24+00:00,moonlit_night_x,....전기장판 개씨게 틀어놨더니 이염댔는디...소독제로 슥슥 닦아봐도 소용업어서 그냥 포기함
39,2022-10-15 09:08:01+00:00,myangnuna_xo,@alcurnia_mya 저 핸드폰은 외출하고 집오면 바로 스왑이나 뿌려쓰는 알콜소독제를 화장솜에 뿌려서 맨날 닦아주는건 아예 루틴처럼 몸이 베여서 괜찮은데 에어팟은 일주일에 한번 충전할때랑 오늘좀많이 출퇴근길에 들은거같다(아님 바닥에 떨어뜨린날.무조건) 해요.... 근데 충전기선 같은거도 한번씩닦아주면 🤢
40,2022-10-15 09:01:16+00:00,splatoon_bita,"@gajami_go 아앋 아악 세상에 으아악 상상했어요😭😭💦
아아니 그그래서 어쩌셨나요... 냅다 알코올 소독제 뿌리셨나요...?"
41,2022-10-15 06:35:42+00:00,M00NLUVRZ,"RT @whatthecrao: 이결이들을 햇빛에 노릇 노릇 말리고 있습니다~~

따끈따끈 갓 생산된 모찌들은 화학약품 냄새가 많이 나요ㅠㅠ 
저는 인형에 소독제를 뿌리고 이렇게 말리는 작업으로 냄새를 없앤답니다~~ o(*'▽'*)/☆ﾟ
12시간 정도…"
42,2022-10-15 05:35:34+00:00,aokoinobori,"RT @whatthecrao: 이결이들을 햇빛에 노릇 노릇 말리고 있습니다~~

따끈따끈 갓 생산된 모찌들은 화학약품 냄새가 많이 나요ㅠㅠ 
저는 인형에 소독제를 뿌리고 이렇게 말리는 작업으로 냄새를 없앤답니다~~ o(*'▽'*)/☆ﾟ
12시간 정도…"
43,2022-10-15 05:33:29+00:00,love_you_0623,"RT @whatthecrao: 이결이들을 햇빛에 노릇 노릇 말리고 있습니다~~

따끈따끈 갓 생산된 모찌들은 화학약품 냄새가 많이 나요ㅠㅠ 
저는 인형에 소독제를 뿌리고 이렇게 말리는 작업으로 냄새를 없앤답니다~~ o(*'▽'*)/☆ﾟ
12시간 정도…"
44,2022-10-15 05:03:38+00:00,choinne_030,"진심… 들어가는 문이 어딘지 안내를 하든가…
일부러 물 안 챙겼는데 문 찾아다니느라 고생해서 목 말러 소독제라도 들이키고 싶다"
45,2022-10-15 04:00:41+00:00,tktlfqhsauddla,@unhappy_pancake 사람들 자꾸 커피에 소독제 넣음 시럽아니라고 써놕음 그래도 넣음 씨발 눈알이 어디달렷노
46,2022-10-15 03:50:05+00:00,whatthecrao,"이결이들을 햇빛에 노릇 노릇 말리고 있습니다~~

따끈따끈 갓 생산된 모찌들은 화학약품 냄새가 많이 나요ㅠㅠ 
저는 인형에 소독제를 뿌리고 이렇게 말리는 작업으로 냄새를 없앤답니다~~ o(*'▽'*)/☆ﾟ
12시간 정도 통풍 잘 되는 곳에서 말리면 냄새가 사라져요! https://t.co/eCOCRcgu0S"
47,2022-10-15 03:47:00+00:00,Mush_get_a_room,@ssitsit_ 제가 소독제 칙칙 해드리고 싶군요+_+ ㅋㅋㅋㅋㅋ 울 애들 소듕하니까 제 땀 묻게 할 수 없어요….
48,2022-10-14 23:28:48+00:00,Nebilis_Hazel,"아, 네. 소독제입니다. 제가 결벽이 조금 있어서.. ..그렇다고 사람한테 뿌리고 다니진 않습니다."
49,2022-10-14 23:15:53+00:00,LeslieM84924801,"카드할인
의왕고양이분양
성수동네일
온샘초
사랑스러운꽃다발
유아소독제
사통팔달
잼있었어요
청주사진관
문
전단지디자인
양육태도
길거리군것질
창업멘토박쌤
슈퍼카즈
수행주간
호빵
자동차
김해화정글샘도서관 https://t.co/ZrIAdGKguk"
50,2022-10-14 17:37:48+00:00,min_suga_nuna,"RT @runie_purple_u: 소독제도 챱챱챱챱

I'm voting for 'BTS' 
(@BTS_twt) for 'Favorite Pop Duo or Group' at the #AMAs https://t.co/dWMldIjlgK"
51,2022-10-14 17:34:08+00:00,runie_purple_u,"소독제도 챱챱챱챱

I'm voting for 'BTS' 
(@BTS_twt) for 'Favorite Pop Duo or Group' at the #AMAs https://t.co/dWMldIjlgK"
52,2022-10-14 14:37:30+00:00,BNILA_LATTE,오늘 낮에 이거 다 교구전용 물수건으로 닦고 소독제 뿌려서 교구전용 마른수건으로 닦고 다 하고나서 첫 타임동안 거의 기절상태로 있었더니 같이 일하는 동생이 키즈반만 나한테 맡기고 이후는 자기가 다 함...ㅠㅋㅋㅋㅋ https://t.co/wxZ2183zSk
53,2022-10-14 14:33:33+00:00,10tionin,소독제 어따 도포하나요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
54,2022-10-14 14:32:28+00:00,1and_on1y,게토한테서 나는 향이 알코올 향이면 어떡하지 시도때도없이 소독제 뿌려서 그 향이 살에 밴거면
55,2022-10-14 14:28:21+00:00,GeumchanYeong,"아, 네 손 소독제 좋더라?"
56,2022-10-14 12:07:09+00:00,lucis1k,RT @__Zero_Sum: 현재 일본내부 룰로 보임 가게앞 건물 앞에 소독제가 배치되어 있고 다들 들어가기전에 손을 소독하고 들어가는 편이 많음. https://t.co/OhHyV6AVGQ
57,2022-10-14 11:50:43+00:00,__Zero_Sum,현재 일본내부 룰로 보임 가게앞 건물 앞에 소독제가 배치되어 있고 다들 들어가기전에 손을 소독하고 들어가는 편이 많음. https://t.co/OhHyV6AVGQ
58,2022-10-14 10:06:24+00:00,Jademon24,예전부터 생각하던건데 사람들의 손이 가장 더러운 순간에 가장 많이 만지는 수도꼭지 손잡이나 소독제 버튼이 제일 더러운거 아니야?
59,2022-10-14 08:35:59+00:00,NARUSE_R666,"오잉?!
번역해보니까 핸드로션이 아니라 손소독제인데?? 로션이랑 소독제는 다른 말이잖아"
60,2022-10-14 06:58:55+00:00,s_croftmanor,RT @sodadrinker_: 친구가 아 비누 없네... 하고 있을 때 가방에서 종이 비누 한똭 꺼내서 친구 줄 일이 생기잖아 그러면 이제 가방에서 비누 못 뺌 여기에 손 소독제가 추가되면 됐지 빼는 경우는 존재하지 않음
61,2022-10-14 06:47:24+00:00,artholic_1,RT @seraph506: 웃픈 건 소독제의 경우 울나라는 순도 95% 알콜주정에 물을 타는 희석식 소주가 주류라 그 물량 며칠치 당기니 바로 해결되는 걸 보던 주당 트친님들이 우리가 나라를 살렸다고...😑😑😑
62,2022-10-14 06:42:59+00:00,justlvz,RT @seraph506: 웃픈 건 소독제의 경우 울나라는 순도 95% 알콜주정에 물을 타는 희석식 소주가 주류라 그 물량 며칠치 당기니 바로 해결되는 걸 보던 주당 트친님들이 우리가 나라를 살렸다고...😑😑😑
